bulleted_details,description,price,rating,review_count,review_text,sale,url,watch_model
"Movement: Swiss quartz,Case: round; 34mm; micro pavé at bezel,Strap: gold ion-plated stainless steel mesh bracelet; approx. width: 15mm,Closure: sliding buckle,Dial: Museum® with flat dot marker,Water resistance: to 30 meters,Warranty: 2-year limited,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 10353344",A ring of sugary sparkle brings needed glamour to this Bold collection watch from Movado. Style #3600656,$695.00,100%,2,"A great item at a great price., The quality and beauty of the watch purchased is outstanding!,Stunning, Absolutely stunning. It is a beautiful watch, light weight amazing quality.",Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-womens-swiss-bold-gold-ion-plated-stainless-steel-mesh-bracelet-watch-34mm?ID=10353344&CategoryID=65993&isDlp=true,Women's Swiss Bold Gold Ion-Plated Stainless Steel Mesh Bracelet Watch 34mm
"TECH FEATURES-,Tracks activity, heart rate and GPS location. Receives smart notifications, controls your music & runs Google Pay™.,Battery lasts for 1 day on single charge in smart mode or multiple days in watch mode. Magnetic charger.,Compatible with Android 4.4+ (excluding Go edition) or iOS 10+,Touchscreen hybrid display with customizable movado dial designs and pushers,Features voice activated Google Assistant and Google Fit,PRODUCT FEATURES-,Smart watch movement,Round stainless steel; 40mm,Black leather strap,Buckle closure,Water resistant to 10 meters,2-year limited warranty,Photo may have been enlarged and/or enhanced.,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 10093853",Movado's accomplished Connect 2.0 smart watch delivers life-improving tech in a gorgeous black and silver-tone touchscreen design. Style #3660022,Now $385.00,None,0,, $24.99 Men's Bonus Buy ,https://www.macys.com/shop/product/movado-connect-2.0-black-leather-strap-touchscreen-smart-watch-40mm?ID=10093853&CategoryID=65993&isDlp=true,Connect 2.0 Black Leather Strap Touchscreen Smart Watch 40mm
"Movement: Swiss quartz,Case: round with diamond (1/4 ct. t.w.) bezel; 28mm,Strap: silver-tone & gold-tone PVD stainless steel bracelet,Closure: push-button deployment,Dial: mother-of-pearl Museum,Water resistance: to 30 meters,Physical Vapor Deposition (PVD) is a coating process used to promote density and help protect from everyday wear and tear. ,Warranty: 2-year limited,Note: Mother-of-Pearl dials may vary in color as each piece is uniquely made and  one of a kind,Photo may have been enlarged and/or enhanced.,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 10216448",An unusually lovely link bracelet of gold-tone and silver-tone stainless steel is a fitting display for the rich diamond-set case and mother-of-pearl Museum dial of Movado's glorious timepiece from the Kora collection. Style #0607326,"$1,595.00",100%,1,"I was looking for a gift for my mom and dad. Carolyn helped me find this Movado for my mom. Carolyn was very thorough and gave me many choices for different time pieces.,It was a really good shopping experience, and I'm sure mom will love this Movado! Thank you Carolyn!!",Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-womens-swiss-kora-diamond-1-4-ct.-t.w.-two-tone-pvd-stainless-steel-bracelet-watch-28mm?ID=10216448&CategoryID=65993&isDlp=true,Women's Swiss Kora Diamond (1/4 ct. t.w.) Two-Tone PVD Stainless Steel Bracelet Watch 28mm
"Movement: Swiss quartz,Case: round; 40mm,Strap: stainless steel bracelet with deployment buckle,Dial: blue with signature dot,Water resistance: to 30 meters,Warranty: 2-year limited,Macy’s does not offer its own watch warranty; all warranties are provided by the vendor.,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Web ID: 5274656",A compelling blue dial etched with fine concentric circles rests in a 6.3mm deep case on this stainless steel Ultra Slim timepiece from Movado. Style #0607168,$895.00,100%,4,"Absolute Elegance, I gave this beautiful watch to my fiancé for Christmas and he LOVED it!! The face is a perfect size at 40 mm, it’s not too small for his wrist and the smooth, sleek design is contemporary with such an understated elegance. Movado is a timeless line and although this is definitely an investment, it’s absolutely worth it! The first thing he noticed were the “Dallas Cowboys colors”! LoL Merry Christmas!,Great Watch, Beautiful Movado watch! Lightweight, easy to read and wear.,Movado mens watch, My husband loved the watch, especially the blue face,Looking chic!, It’s very elegant and nice. Quality is nice too. I would recommend this to friends.",Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-swiss-ultra-slim-stainless-steel-bracelet-watch-40mm?ID=5274656&CategoryID=65993&isDlp=true,Men's Swiss Ultra Slim Stainless Steel Bracelet Watch 40mm
"Swiss quartz movement,Gold-tone stainless steel mesh bracelet with push-button deployment clasp closure; strap width: 22mm; length: 195mm,Round case, 44mm; 5/16"" thick. See Watch Size Guide link below.,Gold-tone dial with signature dot at twelve o'clock, two hands and Movado logo,Water resistant to 30 meters,Two-year limited warranty,Macy's accepts returns of unused fine watches for exchange or refund within 60 days of purchase.,Macy’s does not offer its own watch warranty; all warranties are provided by the vendor.,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 2765258",Movado's sleek design and precision performance makes this Bold gold-tone mesh bracelet watch a thing of beauty.,$595.00,96%,5,"Great Gift, I bought this watch as a Christmas gift for my husband because he'd mentioned that he needed a gold watch. I thought he'd be on the fence because we aren't used to mesh bands but he loves it. It's different and very very classy. When we are out, he gets compliments on it all of the time. Great gift.,Great Movado watch just don't have too many hairs, I love this watch as I thought I would buy myself something special. It's a beautiful watch and no flaws except one. If your a hairy monster like myself your hairs will feel like its getting trapped. Otherwise, I always wanted to own a Movado.,Nice watch, Nice watch. Got a lot of compliments when ever I have it on,Beautiful and well made, This was a gift for my husband. I was a bit skeptical about how the mesh link band would look even though I thought it was quite unique and unusual online. I must say I was pleasantly surprised at how beautiful it looks in person. He absolutely loves the clean design watch and the unique mess band. [This review was collected as part of a promotion.],Classic elegance, Loved the watch at first sight. Had to own it. The mesh band a special treat for the charming face which is the Movado signature!",Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-swiss-bold-gold-tone-ion-plated-stainless-steel-mesh-bracelet-watch-44mm-3600373?ID=2765258&CategoryID=65993&isDlp=true,Men's Swiss Bold Gold-Tone Ion-Plated Stainless Steel Mesh Bracelet Watch 44mm 3600373
"Movement: Swiss quartz,Case: round; 39mm,Strap: gold-tone PVD stainless steel bracelet with deployment clasp,Dial: gold-tone museum,Water resistance: to 30 meters,Currently, COACH product bought on Macys.com cannot be shipped to Hawaii, US Territories or APO/FPO addresses,Warranty: 2-year limited,Macy’s does not offer its own watch warranty; all warranties are provided by the vendor.,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Web ID: 5274662","Polished to a mirror-like shine, this entirely gold-tone Sapphire timepiece from Movado features an exceptional case with an edge-to-edge sapphire crystal. Style #0607180","$1,995.00",100%,4,"Very manly style & sharp looking. I love it!, I'm enjoying my new Movado Men's Swiss Sapphire Gold-tone watch. It's just awesome! I was helped by Cordilla at the store in Mellenia, Orlando. Thanks Movado!,Very sleek mens watch., Yes I love this watch, I would recommend this watch I bought it about two wks ago now I'm waiting on a sale to purchase one for my wife.,THE BEAUTIFUL WATCH, I GO THE WATCH TODAY IT'S NICE WATCH TO HAVE THE SIZE EXCELLENT IN MY WRIST AND SHINY LIKE A MIRROR YOU CAN SEE YOUR SELF,Excellent, I’m happy with my new watch and I would recommend it!!!!!",Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-swiss-sapphire-gold-tone-pvd-stainless-steel-bracelet-watch-39mm?ID=5274662&CategoryID=65993&isDlp=true,Men's Swiss Sapphire Gold-Tone PVD Stainless Steel Bracelet Watch 39mm
"Movement: Swiss quartz,Case: round; 39mm,Strap: stainless steel bracelet with deployment buckle,Dial: silver-tone museum,Water resistance: to 30 meters,Warranty: 2-year limited,Macy’s does not offer its own watch warranty; all warranties are provided by the vendor.,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Web ID: 5274660",A metalized flat sapphire crystal caps the quintessential silver-tone Movado museum dial of this captivating  Sapphire timepiece. Style #0607178,"$1,895.00",100%,1,"Stunning watch!!!, I’ve been eyeing this watch for like 2 yrs!
It’s so unique and definitely love it!!!!!! [This review was collected as part of a promotion.]",Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-swiss-sapphire-stainless-steel-bracelet-watch-39mm?ID=5274660&CategoryID=65993&isDlp=true,Men's Swiss Sapphire Stainless Steel Bracelet Watch 39mm
"TECH FEATURES-,Tracks heart rate, GPS, distance, steps and calories. Receieves smart notifications like text, email alerts and calendar reminders. Controls your music & runs Google Pay™.and calendar reminders. Controls your music. ,Battery on one charge lasts up to one day. Charges with magnetic cable.,Compatible with Android™ OS 4.4+ and iOS 10.0+ devices,Touchscreen display with customizable movado dial designs and pushers,Features voice activated Google Assistant and Google Fit,PRODUCT FEATURES-,Smart watch movement,Round case; 42mm,Black stainless steel mesh bracelet,Push button deployment closure,Water resistant to 10 meters,2-year limited warranty,Photo may have been enlarged and/or enhanced.,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 10093864",Heart rate monitoring and GPS location services never looked better than with this luxurious smart watch in black stainless steel from Movado's advanced Connect 2.0 collection.  Style #3660034,Now $487.00,80%,1,"Stands out from the crowd!, Still playing with it, but so far so good. Screen is a little small, but it stands out from the typical square smartwatch. Easy to use and so far the watch has not had any issues connecting to, and staying connected to, my Samsung +9 phone. Aeleen, the Fine Jewelry salesperson at Edison Mall in Ft. Myers was fantastic. She went above and beyond in assisting with my choice. Aeleen even sized the watch I was currently wearing so it fit better; and, I even bought an unplanned, additional piece of jewelry from her while I was there.", $24.99 Men's Bonus Buy ,https://www.macys.com/shop/product/movado-connect-2.0-black-stainless-steel-mesh-bracelet-touchscreen-smart-watch-42mm?ID=10093864&CategoryID=65993&isDlp=true,Connect 2.0 Black Stainless Steel Mesh Bracelet Touchscreen Smart Watch 42mm
"Macy’s does not offer its own watch warranty; all warranties are provided by the vendor.,Case: round ink blue ion-plated stainless steel; 44mm,Dial: ink blue museum chronograph with date window,Movement: Swiss three-hand quartz ,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Strap: cognac leather with buckle closure,Warranty: 2-year limited,Water resistance: to 30 meters,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Web ID: 5004850","Movado's BOLD chronograph is designed in a unified tone of metallic ink-blue, and paired with a very fine top-stitched cognac leather strap. Style #3600476",$650.00,100%,1,"MY FAVORITE!!, Bought this watch for my husband but I loved it so much that I like it even for me!!!",Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-swiss-chronograph-bold-cognac-leather-strap-watch-44mm?ID=5004850&CategoryID=65993&isDlp=true,Men's Swiss Chronograph BOLD Cognac Leather Strap Watch 44mm
"Movement: Swiss quartz,Case: round; 40mm,Strap: gold-tone PVD stainless steel mesh bracelet with deployment buckle ,Dial: black Museum,Water resistance: to 30 meters,Physical Vapor Deposition (PVD) is a coating process used to promote density and help protect from everyday wear and tear. ,Warranty: 2-year limited,Photo may have been enlarged and/or enhanced.,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 8434446",A curved dot crowns the sublime black dial of this inherently impressive Museum watch in gold-tone stainless steel from Movado. Style #607396,$995.00,None,0,,Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-swiss-museum-gold-tone-pvd-stainless-steel-mesh-bracelet-watch-40mm?ID=8434446&CategoryID=65993&isDlp=true,Men's Swiss Museum Gold-Tone PVD Stainless Steel Mesh Bracelet Watch 40mm
"TECH FEATURES-,Tracks activity, heart rate and GPS location. Receives smart notifications, controls your music & runs Google Pay™.,Battery lasts for 1 day on single charge in smart mode or multiple days in watch mode. Magnetic charger.,Compatible with Android 4.4+ (excluding Go edition) or iOS 10+,Touchscreen hybrid display with customizable movado dial designs and pushers,Features voice activated Google Assistant and Google Fit,PRODUCT FEATURES-,Smart watch movement,Round rose gold-tone stainless steel; 40mm,Pink sand fabric strap,Hook & loop closure,Water resistant to 10 meters,2-year limited warranty,Photo may have been enlarged and/or enhanced.,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 10093856","A pleasure to wear, this fine Connect 2.0 smart watch from Movado has an active disposition with a hybrid touchscreen dial and durable fabric strap in a pink and gray colorway. Style #3660025",Now $347.00,None,0,, $24.99 Men's Bonus Buy ,https://www.macys.com/shop/product/movado-connect-2.0-pink-sand-fabric-strap-hybrid-touchscreen-smart-watch-40mm?ID=10093856&CategoryID=65993&isDlp=true,Connect 2.0 Pink Sand Fabric Strap Hybrid Touchscreen Smart Watch 40mm
"Movement: Swiss quartz,Case: round; 40mm,Strap: black ion-plated stainless steel bracelet with push-button deployment; approx. length: 21mm,Dial: black Museum with flat dot marker,Water resistance: to 30 meters,Warranty: 2-year limited,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 8083503",An all-black Swiss-made masterpiece in stainless steel from Movado's BOLD timepiece collection. Style #3600538,$695.00,100%,1,"Very simple and elegant watch!, My husband purchased this for himself, and he loves it.(However men/women can both wear it).
Received so many compliments. If you don't want something extravagant go for it.
It is simple yet elegant and sexy in its own way! Just by wearing it you can tell that it is high quality.
We got the best deal during macy's friend and family sale!",Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-swiss-bold-black-stainless-steel-bracelet-watch-40mm?ID=8083503&CategoryID=65993&isDlp=true,Men's Swiss BOLD Black Stainless Steel Bracelet Watch 40mm
"Gold-tone PVD-finished stainless steel bracelet with open vertical links and push-button deployment clasp,Round case, 39mm,Matte black dial with raised lacquer-finish bezel, two gold-tone hands and signature dot,Swiss quartz movement,Water resistant to 30 meters,Two-year limited warranty,Macy's accepts returns of unused fine watches for exchange or refund within 60 days of purchase.,Macy’s does not offer its own watch warranty; all warranties are provided by the vendor.,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 3000885",A matte black dial brings a masculine edge to this polished gold-tone bracelet watch from the Esperanza collection by Movado.,"Now $1,100.75",73%,3,"Worth it if you like class, This watch was a Father's Day present in 2017. I had always admired the movado watch brand, and this one was perfect. It has a slick, clean finish that can draw attention to your wrist wether day or night. The band design is one of a kind from the typical movado watch bands. Great gift for any man that appreciates class. You wouldn't be disappointed.,Great watch, Got this watch on sale very classy look and I love it,NOT good, The finish peeled, the sapphire fell off first day, and the crystal scratched on day one while being extremely careful with wear. So sad in Movado quality",Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-swiss-esperanza-gold-tone-stainless-steel-bracelet-watch-39mm-0607059?ID=3000885&CategoryID=65993&isDlp=true,Men's Swiss Esperanza Gold-Tone Stainless Steel Bracelet Watch 39mm 0607059
"Stainless steel link bracelet with push-button deployant clasp,Round case, 36mm, K1 crystal,Silver-tone glitter dial with two hands and crystal dot marker,Swiss quartz movement,Water resistant to 30 meters,Two-year limited warranty,Macy’s does not offer its own watch warranty; all warranties are provided by the vendor.,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 2316745",A burst of glamorous energy on a classic watch silhouette: the Bold collection by Movado.,$595.00,100%,9,"So PRETTY, I am loving this watch! It is very comfortable to wear and beautiful to look at. It is slightly on the larger size but it is still feminine at the same time. I love the subtle sparkle and have so many complements on it. Both classic and modern.,Beautiful and Bold, I have another Movado, but it's the Concerto and I wanted a stainless steel in the Concerto style, but it was a little too pricey, for me, so I bought this one and I love it. It doesn't shimmer as much as it does in the photo, but I still like it. It's a big watch, though and if you're not up for the larger watches, then this isn't for you.,amazing, beautiful watch i love this new bold line its pretty in every color,Awesome watch!, Great quality and wonderful look! One of my favorites!,Beautiful, sleek watch!, I bought this watch for my birthday and I am not disappointed. It has just enough glitz to still look sophisticated. I wear it everyday!!,Great watch!, Bought this for my girlfriend for Christmas. After taking back my initial pick and exchanged for this watch she could not be happier.,Gorgeous watch!, My children bought this for me as a gift and I was thrilled. Stylish and fun, can be casual or dressy. Love it [This review was collected as part of a promotion.],Beautiful gift from my husband, Beautiful watch! Receive many compliments. Love it!!,So in LOVE!, looks better in person! Love the sparkle face dial. Best gift!",Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-womens-swiss-bold-stainless-steel-bracelet-watch-36mm-3600334?ID=2316745&CategoryID=65993&isDlp=true,Women's Swiss Bold Stainless Steel Bracelet Watch 36mm 3600334
"Movement: Swiss quartz,Case: round; 30mm,Strap: silver-tone & gold-tone stainless steel bracelet with deployment clasp,Dial: silver-tone Museum with gold-tone dot,Water resistance: to 30 meters,Warranty: 2-year limited,Photo may have been enlarged and/or enhanced.,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 6812623",An exceptionally sleek H-link bracelet in two-tone stainless steel joins the highly-polished Museum dial of Movado's signature Swiss watch from the BOLD collection. Style #3600551,$550.00,40%,1,"too small, too small for my wrist.. can't seem to return it even though they are allowing 120 days to return watches",Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-womens-swiss-bold-two-tone-stainless-steel-bracelet-watch-30mm?ID=6812623&CategoryID=65993&isDlp=true,Women's Swiss BOLD Two-Tone Stainless Steel Bracelet Watch 30mm
"Movement: Swiss quartz,Case: round; 28mm,Strap: silver-tone & gold-tone PVD stainless steel bracelet with deployment clasp,Dial: mother-of-pearl with diamond-accent indices,Water resistance: to 30 meters,Physical Vapor Deposition (PVD) is a coating process used to promote density and help protect from everyday wear and tear. ,Warranty: 2-year limited,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of your purchase. Call Customer Service at: 1-800-BUY-MACY (1-800-289-6229), use Macy's Chat function or visit any Macy's store with your dated online receipt.,Photo may have been enlarged and/or enhanced.,Web ID: 6977174",A free-falling bracelet design with open vertical links frames a sumptuous mother-of-pearl and diamond-accent dial for Movado's thrilling two-tone Esperanza timepiece. Style #0607305,"Now $1,270.75",60%,1,"nice watch but, It's a nice watch but there are lots of scratch and fingerprints",Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-womens-swiss-esperanza-diamond-accent-two-tone-pvd-stainless-steel-bracelet-watch-28mm?ID=6977174&CategoryID=65993&isDlp=true,Women's Swiss Esperanza Diamond-Accent Two-Tone PVD Stainless Steel Bracelet Watch 28mm
"Movement: Swiss three-hand quartz,Case: round; 42mm,Strap: gray ion-plated stainless steel bracelet; approx. width: 22mm,Closure: push-button deployment,Dial: gray chronograph,Water resistance: to 30 meters,Warranty: 2-year limited,Get FREE watch sizing at Macy's stores—just show us your Macy's proof-of-purchase.,Don't have your proof-of-purchase? Then pay just $48.,First at Macy's ,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 10359237",Another masterwork of timepiece innovation from Movado's Bold Evolution collection. Style #3600685,$895.00,None,0,,Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-swiss-chronograph-bold-evolution-gray-ion-plated-steel-bracelet-watch-42mm-first-at-macys?ID=10359237&CategoryID=65993&isDlp=true,"Men's Swiss Chronograph Bold Evolution Gray Ion-Plated Steel Bracelet Watch 42mm, First at Macy's"
"Stainless steel bracelet with pyramid links and butterfly deployment clasp,Round case, 28mm, bezel-free case, flat edge-to-edge sapphire crystal,Silver-tone mirror dial with 11 diamond accent markers, two hands and concave dot marker,Swiss quartz movement,Water resistant to 30 meters,Two-year limited warranty,Macy’s does not offer its own watch warranty; all warranties are provided by the vendor.,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Macy's accepts returns of unused fine watches for exchange or refund within 60 days of purchase.,Web ID: 1482428",Movado's modern Sapphire collection watch is a brilliant standard-bearer for luxury design.,"$1,495.00",100%,1,,Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-womens-swiss-sapphire-diamond-accent-stainless-steel-bracelet-watch-28mm-0606814?ID=1482428&CategoryID=65993&isDlp=true,Women's Swiss Sapphire Diamond Accent Stainless Steel Bracelet Watch 28mm 0606814
"Movement: Swiss quartz,Case: round; 24mm,Strap: stainless steel bangle bracelet with jewelry clasp,Dial: pink Museum,Water resistance: up to 30 meters,Warranty: 2-year limited,A Limited Edition,Shop the Limited Edition midnight blue mother-of-pearl Amorosa Stainless Steel Bracelet Watch with web id: 8083486.,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of your purchase. Call Customer Service at: 1-800-BUY-MACY (1-800-289-6229), use Macy's Chat function or visit any Macy's store with your dated online receipt.,Get FREE watch sizing at Macy's stores—just show us your Macy's proof-of-purchase.,Don't have your proof-of-purchase? Then pay just $15,Photo may have been enlarged and/or enhanced.,Web ID: 8083487","Amorosa Collection. Sleek, Chic, and Sizable. These polished women's bangle-style watches with smoothly sculpted lines feature removable sizing links at the back for an adjustable fit. Available in a midnight blue mother-of-pearl or pink soleil dial for her, Created for Macy's. Style #0607387",$495.00,100%,1,"Beautiful watch, I’m glad I purchased this watch,very simple yet elegant",Extra 25% off use: FRIEND,https://www.macys.com/shop/product/limited-edition-movado-womens-swiss-amorosa-stainless-steel-bangle-bracelet-watch-24mm-created-for-macys?ID=8083487&CategoryID=65993&isDlp=true,"LIMITED EDITION Women's Swiss Amorosa Stainless Steel Bangle Bracelet Watch 24mm, Created for Macy's"
"Movement: Swiss quartz,Case: round; 24mm,Strap: silver-tone & gold-tone PVD stainless steel diamond-accent bangle bracelet with jewelry clasp closure ,Dial: black museum,Water resistance: to 30 meters,Physical Vapor Deposition (PVD) is a coating process used to promote density and help protect from everyday wear and tear. ,Warranty: 2-year limited,Macy’s does not offer its own watch warranty; all warranties are provided by the vendor.,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Almost all gemstones have been treated to enhance their beauty and require special care.,Web ID: 10150369",The elegance of fine jewelry and Swiss watch design unite in this diamond-accented two-tone bangle bracelet from Movado. Style #0607185,Now $930.75,100%,3,"Classy and feminine, My husband purchased this watch as a Christmas gift for me. It’s a beautiful piece; I love it very much.,Beautiful watch, I got this watch for my mom on Mother's day. It is beautiful,Simple but ELEGANT!, This Movado watch is so simple but very ELEGANT! The latch is secured and you'll never have to worry about losing this watch. It matches with everything, from casual attire to evening dresses. It is also water resistant and stainless steel.",Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-swiss-amorosa-collection-diamond-accent-stainless-steel-bangle-bracelet-watches?ID=5274650&CategoryID=65993&isDlp=true,Women's Swiss Amorosa Diamond-Accent Two-Tone PVD Stainless Steel Bangle Bracelet Watch 24mm
"Movement: Swiss three-hand quartz,Case: round stainless steel; 42mm; black ceramic bezel,Strap: black silicone; approx. width: 20mm,Closure: tongue buckle,Dial: black with date window,Water resistance: to 30 meters,Warranty: 2-year limited,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 10097692",Movado blends its rich history of iconic minimalism with modern ingenuity to create this sporty Bold collection timepiece. Style #3600624,$595.00,None,0,,Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-fusion-swiss-bold-black-silicone-strap-watch-42mm?ID=10097692&CategoryID=65993&isDlp=true,Men's Fusion Swiss Bold Black Silicone Strap Watch 42mm
