watch_model,model_number,color,in_stock,price,description,bullet_details,review_count,rating,review_text,url
"Bold Bracelet Watch, 34mm",5679085,Silver/ Rose Gold,Yes,$416.50,A textured outer ring and signature Museum dot at 12 o'clock accent the radiant sunray dial of an elegantly understated timepiece in a highly polished case with a matching bracelet.,"34mm case; 15mm band width
Deployant clasp closure
Swiss quartz movement
K-1 mineral crystal face
PVD stainless steel
Imported
Item #5612270_3",0,NA,[],https://shop.nordstrom.com/s/movado-bold-bracelet-watch-34mm/5679085?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=silver
"Bold Evolution Mesh Bracelet Watch, 40mm",5071049,Black,Yes,$416.50,"Simple and streamlined, the iconic Museum dot sits front and center on the indexless face of this everlasting timepiece you'll love wearing.","40mm case; 21mm band width
Push-button deployant clasp closure
Two-hand quartz movement
K1 mineral crystal face
Stainless steel
Swiss made
Item #5704380",3,4.3,"['disappointed\nI love the look of this watch but the clasp doesn’t hold. Fortunately I realized when it would fall off as I was at home. I’ll return and try another one to see if this was a defect. I hope so\nhdfoc Sweepstakes entry\nJan 17, 2020', ""BEAUTIFUL WATCH\nFirst saw it on a commercial Ithought it was so beautiful, so I asked my husband if I could have it for my Christmas present you won't be disappointed, it is beautiful.\ngarjim Sweepstakes entry\nDec 22, 2019"", 'Classy\nMy sister loveeee this gift. Very classy\nPatSnow Sweepstakes entry\nJuly 25, 2019']",https://shop.nordstrom.com/s/movado-bold-evolution-mesh-bracelet-watch-40mm/5071049?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=blue
"Bold Evolution Mesh Bracelet Watch, 40mm",5071049,Blue,Yes,$416.50,"Simple and streamlined, the iconic Museum dot sits front and center on the indexless face of this everlasting timepiece you'll love wearing.","40mm case; 21mm band width
Push-button deployant clasp closure
Two-hand quartz movement
K1 mineral crystal face
Stainless steel
Swiss made
Item #5704380",3,4.3,"['disappointed\nI love the look of this watch but the clasp doesn’t hold. Fortunately I realized when it would fall off as I was at home. I’ll return and try another one to see if this was a defect. I hope so\nhdfoc Sweepstakes entry\nJan 17, 2020', ""BEAUTIFUL WATCH\nFirst saw it on a commercial Ithought it was so beautiful, so I asked my husband if I could have it for my Christmas present you won't be disappointed, it is beautiful.\ngarjim Sweepstakes entry\nDec 22, 2019"", 'Classy\nMy sister loveeee this gift. Very classy\nPatSnow Sweepstakes entry\nJuly 25, 2019']",https://shop.nordstrom.com/s/movado-bold-evolution-mesh-bracelet-watch-40mm/5071049?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=blue
"Bold Evolution Mesh Bracelet Watch, 40mm",5071049,Gold,Yes,$446.25,"Simple and streamlined, the iconic Museum dot sits front and center on the indexless face of this everlasting timepiece you'll love wearing.","40mm case; 21mm band width
Push-button deployant clasp closure
Two-hand quartz movement
K1 mineral crystal face
Stainless steel
Swiss made
Item #5704380",3,4.3,"['disappointed\nI love the look of this watch but the clasp doesn’t hold. Fortunately I realized when it would fall off as I was at home. I’ll return and try another one to see if this was a defect. I hope so\nhdfoc Sweepstakes entry\nJan 17, 2020', ""BEAUTIFUL WATCH\nFirst saw it on a commercial Ithought it was so beautiful, so I asked my husband if I could have it for my Christmas present you won't be disappointed, it is beautiful.\ngarjim Sweepstakes entry\nDec 22, 2019"", 'Classy\nMy sister loveeee this gift. Very classy\nPatSnow Sweepstakes entry\nJuly 25, 2019']",https://shop.nordstrom.com/s/movado-bold-evolution-mesh-bracelet-watch-40mm/5071049?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=blue
"Bold Evolution Mesh Bracelet Watch, 40mm",5071049,Grey,Yes,$446.25,"Simple and streamlined, the iconic Museum dot sits front and center on the indexless face of this everlasting timepiece you'll love wearing.","40mm case; 21mm band width
Push-button deployant clasp closure
Two-hand quartz movement
K1 mineral crystal face
Stainless steel
Swiss made
Item #5704380",3,4.3,"['disappointed\nI love the look of this watch but the clasp doesn’t hold. Fortunately I realized when it would fall off as I was at home. I’ll return and try another one to see if this was a defect. I hope so\nhdfoc Sweepstakes entry\nJan 17, 2020', ""BEAUTIFUL WATCH\nFirst saw it on a commercial Ithought it was so beautiful, so I asked my husband if I could have it for my Christmas present you won't be disappointed, it is beautiful.\ngarjim Sweepstakes entry\nDec 22, 2019"", 'Classy\nMy sister loveeee this gift. Very classy\nPatSnow Sweepstakes entry\nJuly 25, 2019']",https://shop.nordstrom.com/s/movado-bold-evolution-mesh-bracelet-watch-40mm/5071049?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=blue
"Museum Diamond Bracelet Watch, 40mm",5679026,Silver/ Black/ Gold,Yes,$906.50,"Time doesn't stand still, but it surely sparkles in a classic watch styled with eleven twinkling diamond markers and Movado's classic Museum dot.","40mm case; 21mm band width
Adjustable bracelet. Links can be removed at your local Nordstrom. Find a store.
Total diamond weight: 0.043ct
Swiss quartz movement
Sapphire crystal face
Gold and stainless steel or stainless steel/diamond
Swiss made
Diamond Guide
Item #5681812_1",1,4,"['Love it!\nI recently purchased this for my boyfriend as a birthday gift and it is gorgeous. The only thing that annoys me a little is that the bracelet part looks a little dull in person, almost worn out. Other than that it’s really. Beautiful, sharp watch.\nATLomba Sweepstakes entry\nMay 24, 2020']",https://shop.nordstrom.com/s/movado-museum-diamond-bracelet-watch-40mm/5679026?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=silver%2F%20black%2F%20gold
"Bold Chronograph Leather Strap Watch, 42mm",5402193,Cognac/ Blue,Yes,$395.00,"Offering sophisticated functionality, this timepiece boasts an accurate Swiss movement, clean chronograph sunray dial and iconic Museum dot.","42mm case; 21mm band width
Buckle closure
Swiss quartz movement
Date window
Day, 60-minute and 30-minute subdials
Mineral crystal face
Stainless steel with ionic plate/leather
Imported
Item #5923947",1,5,"[""Super classy, sophisticated, stylish & unique\nBeautifully-made watch. Very classy. Got it as a gift for my boyfriend who I have never seen wear a watch, now he wears this everyday! Movado has gorgeous watches in general and I could not for the life of me decide which one to get, but I picked the blue because it's unique - I have never seen a navy-faced watch executed so well. I love navy and brown colors together. Also love the chronograph details. The color in the photo definitely appears to be lighter than in person. It is actually a darker shade, and the lines and hands and not as visible than in the photo, but this doesn't affect how much we love it!\nnina_nyc Sweepstakes entry\nJan 8, 2020""]",https://shop.nordstrom.com/s/movado-bold-chronograph-leather-strap-watch-42mm/5402193?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=cognac%2F%20blue
"Bold Chronograph Leather Strap Watch, 42mm",5402193, Cognac/ White/ Gunmetal,Yes,$395.00,"Offering sophisticated functionality, this timepiece boasts an accurate Swiss movement, clean chronograph sunray dial and iconic Museum dot.","42mm case; 21mm band width
Buckle closure
Swiss quartz movement
Date window
Day, 60-minute and 30-minute subdials
Mineral crystal face
Stainless steel with ionic plate/leather
Imported
Item #5923947",1,5,"[""Super classy, sophisticated, stylish & unique\nBeautifully-made watch. Very classy. Got it as a gift for my boyfriend who I have never seen wear a watch, now he wears this everyday! Movado has gorgeous watches in general and I could not for the life of me decide which one to get, but I picked the blue because it's unique - I have never seen a navy-faced watch executed so well. I love navy and brown colors together. Also love the chronograph details. The color in the photo definitely appears to be lighter than in person. It is actually a darker shade, and the lines and hands and not as visible than in the photo, but this doesn't affect how much we love it!\nnina_nyc Sweepstakes entry\nJan 8, 2020""]",https://shop.nordstrom.com/s/movado-bold-chronograph-leather-strap-watch-42mm/5402193?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=cognac%2F%20blue
"Bracelet Watch, 40mm",5678881,Gold/ Black/ Gold,Yes,$836.50,A Museum dot at 12 o'clock adds a defining touch to this minimalist bracelet watch with precise Swiss movement.,"40mm case; 21mm band width
Deployant clasp closure
Adjustable bracelet. Links can be removed at your local Nordstrom. Find a store.
Swiss quartz movement
Sapphire crystal face
Stainless steel or stainless steel with gold PVD
Swiss made
Item #5612265_1",3,5,"['great gift\nBought it for my husband for our anniversary, he loves the watch!! It’s a classic beautiful stainless steal watch, very elegant and the perfect size as well.\nSwiftrun1 Sweepstakes entry\nMar 4, 2020', ""Less is more\nAbsolutely gorgeous minimalistic watch. Worth the price. Note that it's not waterproof, only water resistant.\nPetrifiedYogi Sweepstakes entry\nDec 29, 2019"", 'This Movado Watch is Beautiful!\nI bought this Movado watch for my husband and I love it so much when it arrived! My husband and my children were so happy as well. It can be dressed up and down. It is a true timeless, classic, timepiece!\nDeborah7 Sweepstakes entry\nJan 28, 2019']",https://shop.nordstrom.com/s/movado-bracelet-watch-40mm/5678881?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=gold%2F%20black%2F%20gold
"Bold Evolution Mesh Strap Watch, 34mm",5402200,Blue,Yes,$385.00,"The iconic Bold watch is updated with eye-catching color on this sleek mesh-band piece marked only by a signature Museum dot and slender, golden hands.","34mm case; 15mm band width
Safety clasp closure
Swiss quartz movement
Mineral crystal face
Stainless steel with ionic plate
Imported
Item #5924045",1,5,"['LOVE!!\nI have this in gold and I just love it so much!! It’s the perfect accessory for when I want the extra glamour w/o being flashy.\nCristinitaem22 Sweepstakes entry\nApr 30, 2020']",https://shop.nordstrom.com/s/movado-bold-evolution-mesh-strap-watch-34mm/5402200?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=blue
"Museum Sport Bracelet Watch, 42mm",5071045,Gunmetal/ Black,Yes,$971.25,"Practical touches like a reflector minute ring and luminous hands make this handsome and accurate Swiss timepiece wearable for any occasion. Featuring the signature Museum dot at 12 o'clock, the watch is secured by a sturdy dual-finish bracelet that wears comfortably all day.","42mm case; 21mm band width
Adjustable bracelet. Links can be removed at your local Nordstrom. Find a store
Butterfly clasp closure
Swiss quartz movement
Sapphire crystal face
Sanded dial
Stainless steel with black PVD
Swiss made
Item #5704377",0,NA,[],https://shop.nordstrom.com/s/movado-museum-sport-bracelet-watch-42mm/5071045?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=gunmetal%2F%20black
"Bold Pavé T-Bar Bracelet Watch, 32mm",5678851,Gold,Yes,$596.25,Sparkling stones and the signature Museum dot mark the dial of this assertively glam watch powered with a precise Swiss quartz movement that's always accurate.,"32mm case; 15mm band width
Deployant clasp closure
Swiss quartz movement
Mineral crystal face
Stainless steel
Imported
Item #5578708_4",8,4.4,"[""Gorgeous watch\nI bought this as a Valentine's present to myself and Movado did not disappoint. There is just enough bling on the face to satisfy my love of pizzazz without being garish. Beautiful watch and am thrilled to have snagged one.\nCurvyC Sweepstakes entry\nMar 2, 2020"", 'Cool Classic\nBeautiful understated watch. Thought it was going to have a larger circumference but it’s fine as is but returning It because I just can’t see the time easily- maybe got too used to my Fitbit.\nBabyshoo Sweepstakes entry\nDec 29, 2019', 'Classy Movado Watch\nThis watch is absolutely gorgeous! It is classy and elegant and I love the style. Highly recommend!\ntnrose Sweepstakes entry\nDec 27, 2019', 'It’s a beauty\nBought this watch. Had the straps adjusted. It is absolutely beautiful. You can dress it up or dress it down. It definitely makes a statement. The only reason I gave it four stars is because when compared with my white Michelle ceramic watch… I feel that the quality of the band on this watch isn’t going to hold up as well as my Michelle one… We shall see!\nJerseyJohn1969 Sweepstakes entry\nNov 2, 2019', 'BOLD, BOLD, BOLD!\nNice sparkly watch. Quite showy.\ndebar57\nJune 27, 2019', 'Movado bold is GOLD!\nGorgeous...very understated bling...I love it! I waited 1.5 years for it to go on sale...a very worthy splurge!\nChocolatesplendor Sweepstakes entry\nFeb 24, 2019', 'Gorgeous watch\nI love this watch. This is my second Movado watch. My first one I’ve had for 15 years and it still works and looks beautiful. Great watch company. I received this one for my birthday. The picture doesn’t do the watch justice. It is gorgeous in person. I have had so many compliments on it. It just sparkles. I love it because it’s so unique.\nTwinmom105 Sweepstakes entry\nAug 19, 2018', 'Overwhelming\nI purchased this watch for my mother for her Mother’s day gift. I liked it so much I purchased two . One for her and me . The name speaks for itself “Bold” . I am always darling to be different and this is a very bold statement for the Brand Movado ! I love and adore my watch and my mother can’t stop talking about her Mother’s Day Gift . I recommend this watch to have as a keepsake. Spoil yourself you deserve it , I did .\nFigtaz1 Sweepstakes entry\nJune 10, 2018']",https://shop.nordstrom.com/s/movado-bold-pave-t-bar-bracelet-watch-32mm/5678851?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=gold
"Bold Leather Strap Watch, 42mm",5679406,Blue/ Grey,Yes,$346.50,A signature Museum dot at 12 o'clock accents the radiant sunray dial of an elegantly understated timepiece. A smooth nappa leather strap completes the modern design.,"42mm case
Buckle closure
Swiss quartz movement
K-1 mineral crystal face
Stainless steel/ionic plate/leather
Imported
Item #5825146_1",0,NA,[],https://shop.nordstrom.com/s/movado-bold-leather-strap-watch-42mm/5679406?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=blue%2F%20grey
"Museum Mesh Strap Watch, 28mm",4944938,Silver/ Black/ Silver,Yes,$556.50,The signature Museum dot strikes the hour on the beautiful black dial of this gleaming stainless steel watch set on a coordinating mesh strap.,"28mm case; 15mm band width
Deployant clasp closure
Swiss quartz movement
Sapphire crystal face
Stainless steel
Swiss made
Item #5234162",1,5,"[""Women's silver and black Movado Watch\nA beautiful black-faced Movado watch with a modern, yet elegant silver mesh band. Very clean lines. More a piece of jewelry than a watch.\nJeffAA Sweepstakes entry\nDec 10, 2019""]",https://shop.nordstrom.com/s/movado-museum-mesh-strap-watch-28mm/4944938?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=silver%2F%20black%2F%20silver
"Bold Pavé Dot Ceramic Bracelet Watch, 36mm",5661973,Rose Gold,Yes,$486.50,"A blend of everyday style and cocktail-hour elegance, this bold sunray dial features ceramic links, a mirror bezel and pavé crystal Museum dot.","36mm case; 18mm band width
Adjustable bracelet. Links can be removed at your local Nordstrom. Find a store.
Butterfly clasp closure
Swiss quartz movement
Mineral crystal face
Stainless steel or stainless steel with ionic plate/ceramic
Imported
Item #5923949_1",1,5,"['BEAUTIFUL WATCH\nThis watch is more beautiful than I expected. The quality speaks for itself. This is my second Movado watch so I know that this is not just a beautiful watch but that I know that I can always depend on it to keep accurate time. I’ve been looking for a gold watch and the ceramic detail on this watch made it irresistible!\nGrace711 Sweepstakes entry\nFeb 9, 2020']",https://shop.nordstrom.com/s/movado-bold-pave-dot-ceramic-bracelet-watch-36mm/5661973?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=rose%20gold
"Bold Mesh Strap Watch, 42mm",5247092,Light Gold,Yes,$446.25,A signature Museum dot at 12 o'clock accents the radiant sunray dial of an elegantly understated timepiece. A gleaming mesh strap completes the modern design.,"35mm case
Deployant clasp closure
Swiss quartz movement
K-1 mineral crystal face
Stainless steel/ionic plate
Imported
Item #5825137",0,NA,[],https://shop.nordstrom.com/s/movado-bold-mesh-strap-watch-42mm/5247092?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=silver
"Bold Mesh Strap Watch, 42mm",5247092,Silver,Yes,$371.25,A signature Museum dot at 12 o'clock accents the radiant sunray dial of an elegantly understated timepiece. A gleaming mesh strap completes the modern design.,"35mm case
Deployant clasp closure
Swiss quartz movement
K-1 mineral crystal face
Stainless steel/ionic plate
Imported
Item #5825137",0,NA,[],https://shop.nordstrom.com/s/movado-bold-mesh-strap-watch-42mm/5247092?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=silver
"Museum Mesh Bracelet Watch, 40mm",5247104,Gold/ Black/ Gold,Yes,$696.50,"Time doesn't stand still, but it surely shines in a classic bracelet watch marked with Movado's classic Museum dot.","40mm case
Deployant clasp closure
Swiss quartz movement
Sapphire crystal face
Stainless steel
Swiss made
Item #5825147",0,NA,[],https://shop.nordstrom.com/s/movado-museum-mesh-bracelet-watch-40mm/5247104?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=silver%2F%20blue%2F%20silver
"Museum Mesh Bracelet Watch, 40mm",5247104,Silver/ Blue/ Silver,Yes,$596.25,"Time doesn't stand still, but it surely shines in a classic bracelet watch marked with Movado's classic Museum dot.","40mm case
Deployant clasp closure
Swiss quartz movement
Sapphire crystal face
Stainless steel
Swiss made
Item #5825147",0,NA,[],https://shop.nordstrom.com/s/movado-museum-mesh-bracelet-watch-40mm/5247104?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=silver%2F%20blue%2F%20silver
"Museum Mesh Strap Watch, 28mm",5648011,Carnation Gold/ White Mop,Yes,$696.50,The signature Museum dot strikes the hour on the beautiful mother-of-pearl dial of this gleaming stainless steel watch set on a coordinating mesh strap.,"28mm case
Deployant clasp closure
Swiss quartz movement
Sapphire crystal face
Mother-of-pearl dial; may vary in color
Stainless steel
Swiss made
Item #5799465_1",0,NA,[],https://shop.nordstrom.com/s/movado-museum-mesh-strap-watch-28mm/5648011?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=carnation%20gold%2F%20white%20mop
"Bold Leather Strap Watch, 35mm",5358932,Taupe/ Grey,Yes,$450.00,A signature Museum dot at 12 o'clock accents the radiant sunray dial of an elegantly understated timepiece. A smooth nappa leather strap completes the modern design.,"42mm case
Buckle closure
Swiss quartz movement
K-1 mineral crystal face
Stainless steel/ionic plate/leather
Imported
Item #5825135_1",0,NA,[],https://shop.nordstrom.com/s/movado-bold-leather-strap-watch-35mm/5358932?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=taupe%2F%20grey
"Bold Evolution Mesh Strap Watch, 34mm",5678898,Silver/ Multi,Yes,$385.00,"A radiating sunray dial unfettered by hour markers, except for the iconic museum dot, is highlighted by a ring of rainbow-hued crystals on this modern watch.","34mm case; 15mm bandwidth
Safety clasp closure
Swiss quartz movement
Mineral crystal face
Stainless steel/crystal
Imported
Item #6037779_1",0,NA,[],https://shop.nordstrom.com/s/movado-bold-evolution-mesh-strap-watch-34mm/5678898?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=silver%2F%20multi
"Bold Crystal Bezel Mesh Strap Watch, 34mm",5402112,Gold,Yes,$486.50,"A radiating sunray dial unfettered by hour markers, except for the iconic Museum dot, is highlighted by a ring of crystals on this elegant, modern watch.","34mm case; 15mm band width
Safety clasp closure
Swiss quartz movement
Mineral crystal face
Stainless steel with ionic plate
Imported
Item #5923962",0,NA,[],https://shop.nordstrom.com/s/movado-bold-crystal-bezel-mesh-strap-watch-34mm/5402112?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=gold
"Bold Crystal Bezel Mesh Strap Watch, 34mm",5402112,Rose Gold,Yes,$486.50,"A radiating sunray dial unfettered by hour markers, except for the iconic Museum dot, is highlighted by a ring of crystals on this elegant, modern watch.","34mm case; 15mm band width
Safety clasp closure
Swiss quartz movement
Mineral crystal face
Stainless steel with ionic plate
Imported
Item #5923962",0,NA,[],https://shop.nordstrom.com/s/movado-bold-crystal-bezel-mesh-strap-watch-34mm/5402112?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=gold
"Bold Bracelet Watch, 34mm",5661975,Gold,Yes,$486.50,"A blend of everyday style and cocktail-hour elegance, this bold sunray dial features gleaming links, a mirrored bezel and a pavé crystal Museum dot.","34mm case; 15mm band width
Adjustable bracelet; links can be removed at your local Nordstrom. Find a store
Butterfly clasp closure
Swiss quartz movement
Mineral crystal face
Stainless steel with ionic plate
Imported
Item #5923954_1",0,NA,[],https://shop.nordstrom.com/s/movado-bold-bracelet-watch-34mm/5661975?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=gold
"'Bold' Leather Strap Watch, 42mm",3907993,Grey/ Black,Yes,$395.00,Movado's signature Museum dot shines at 12 o'clock on the sleek black dial of a minimalist round watch set on a rich Colorado leather strap.,"42mm case, 22mm band width.
Buckle closure.
Swiss quartz movement.
K-1 mineral crystal face.
TR-90 composite/stainless steel/leather.
By Movado; Swiss made.
Item #1009010",31,4.7,"['Love the watch, band not so sure.\nLove the watch, the band is nice but not sure that it will last longer, it seems that the material is not as strong as leather. I am not sure what the material of the band is. I bought the watch because in the 80s was very popular. Thank you.\nAlbertito Sweepstakes entry\nSept 10, 2019', 'Really nice\nThis watch is really nice! It looks very well made and you can wear it with anything. I would definitely recommend.\nJessE2019 Sweepstakes entry\nFeb 24, 2019', 'Mavado Watch\nGot this watch for my husband, it’s a really nice watch, the leather on the band is very nice. I would definitely would recommend.\nKPatton Sweepstakes entry\nJan 2, 2019', 'Great Gift-Watch\nGreat gift and well recieved. I would by again!\nRobinXmas Sweepstakes entry\nDec 26, 2018', 'beautiful watch\nI ordered this watch for my husband and he absolutely loved it I got it in the brown and it goes with anything you will be very pleased with this watch you can dress it up or dress it down love it ❤️\nSandyd303 Sweepstakes entry\nDec 14, 2018', 'PLEASED!!\nI got this watch for my husband and he really likes it a lot. He was very pleased with the style and the fit. It is well made and the color is perfect too. I purchased him the chocolate and black one.\nAMJAMB\nNov 10, 2018', 'Anniversary gift\nI got this watch for my husband as an anniversary gift and he absolutely loved it. It’s so sleek, has a classy look. It’s not too big or too small it’s a good size too.\nPmalhi Sweepstakes entry\nAug 19, 2018', ""Love\nI bought the black for my BF's birthday and it was a win! Well made, perfect size for a man!\nAngeliR Sweepstakes entry\nAug 13, 2018"", 'Repeat Movado Purchaser\nI treated myself to my 3rd Movado unlike the other two you can dress it up or down. Awesome watch!\nAllnaturalhomegrown Sweepstakes entry\nApr 12, 2018', 'Simply beautiful\nBeautiful watch. Great purchase. I love the sleek details!\nCydara Sweepstakes entry\nApr 8, 2018', 'Great buy\nI bought this watch and it was delivered fast and on time. I love the watch and it fit prefectly. The watch is great quality. I recommend this watch to anyone n makes a great gift.\n284strong Sweepstakes entry\nJan 1, 2018', ""LOVE IT!\nLOVE this watch! Absolutely stunning and unique. I had ordered it originally on sale and received an email shortly after indicating that Nordstrom could not fulfill my order. However, they graciously gave me the same sale's price for this watch instead. Great gift!\nRCGI Sweepstakes entry\nDec 13, 2017"", 'Watch\nI love the color and weight of this movado watch, it goes good dressed up or casually.\nYams4life Sweepstakes entry\nDec 8, 2017', '5 Stars!!\nClassy & elegant!! Really love the watch! ♥️\nJaybravo Sweepstakes entry\nDec 7, 2017', ""A1!!!\nLove the watch...bought it as a xmas gift...the leather band is great quality...especially love that it doesn't tic!!\nMzQuen Sweepstakes entry\nDec 7, 2017"", 'Awesome Deal\nThis watch is very lovely and the price was a steal.\nALyles Sweepstakes entry\nDec 7, 2017', 'Shhh!! This is a great holiday gift!\nMasculine watch without being clunky. Perfect representation of a Movado for everyday.\nmom2dlg Sweepstakes entry\nDec 4, 2017', 'Perfect wedding gift\nI gave this to my husband as a wedding gift and he loves it! Great quality for everyday use and very flattering on him.\nShineB Sweepstakes entry\nNov 28, 2017', 'Perfect Gift!\nI purchased this watch as a gift for my fiancé and he absolutely LOVES it. Its a gorgeous watch, great quality and the picture is identicle to what it looks like in real life.\nfsseminole Sweepstakes entry\nAug 30, 2017', 'Excellent service, great product!\nBeautiful watch exactly what I expected. Customer service phone rep was very helpful,\nMovato Sweepstakes entry\nAug 19, 2017', 'Movado watches are the best\nI purchased the watch for my son 25th birthday. He love the bold black look of the watch, he was very happy. He loves the fact that it glide and not tick, and he gave me a kiss in my cheek for buying him such a great gift. I recommend this watch or any of the styles similar to the watch by MOVADO\nMsBrowwn Sweepstakes entry\nAug 19, 2017', 'poor quality\nWatch band fell off face on one end after light use. Overall watch is made of poor quality materials and am disappointed. Will be returning as it is faulty.\nSfron\nAug 3, 2017', 'Retail therapy!\nI purchased this watch for my boyfriend and he absolutely loves it. He loves the leather straps, loves the color and loves the brand Movado. Nordstrom carries a lot of amazing products that I love and I will continue to shop here.\nLota8 Sweepstakes entry\nJuly 2, 2017', 'A special gift\nIt was a gift for Fathers Day, and my husband loved it. He got a lot of compliments from his friends.\nPerfectFather\nJune 26, 2017', ""Sleek and goes with everything!\nBought this for my hubby for our 10 year anniversary; he loves it! It's classic and sleek and didn't break the bank but got a good watch for him! I liked the brown and black; one that goes with everything no matter what he wears.\nbobcats00\nJune 19, 2017"", ""Bold and Unique\nI bought this for my boyfriend's birthday and he loves it. It's Bold and Unique style is beautiful. The silver with black finish is clean. Definitely recommend purchasing. You can always depend on Movado!\ntrininewyork\nApr 3, 2017"", ""disappointed in quality\nI purchased this watch for my boyfriend for Christmas. After wearing it for 2.5 weeks the strap popped off when he gave me a hug. To me that's poor craftsmanship for something that's $395. I'm very disappointed.\nmichberson\nJan 15, 2017"", 'Movado Black&Brown watch\nThis is my third Movado and I am just as pleased with this timepiece as the others. Movado clean design and classic style are always above board.\nMJ1970\nDec 28, 2016', ""For small men\nI was so excited because I had finally found my husband's favorite color combination in a watch brand that I love. When I received it I was very disappointed. It fit perfectly on my wrist but the size of the watch was way too small for my husband's wrist. Had to return it. Beautiful watch, just made for small men or more a woman's watch.\nAmfySpring, Tx\nDec 26, 2016"", ""Perfect Watch for A Picky Dad!\nGot this watch for my dad for Christmas and he absolutely loves it and wears it everyday! He's a bit picky and prefers a watch to be light instead of the heavy bracelet type. He loved the simplistic and elegance of this Movado Watch.\nKristoffeDallas, TX, USA\nJan 6, 2016"", 'Sleek - Cool - Modern\nFresh take on cool Movado style. Extremely difficult to find a watch with both black and brown. Very competitive price.\nLadyBird82\nDec 20, 2015']",https://shop.nordstrom.com/s/movado-bold-leather-strap-watch-42mm/3907993?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=grey%2F%20black
"'Heritage' Leather Strap Watch, 40mm",4388010,Black/ Black,Yes,$446.25,"Inspired by Movado's rich archive of classic timepieces, this updated interpretation of the original Calendoplan model features a sleek, highly polished case, pointed indexes and a simple date aperture at 3 o'clock. A perforated, topstitched leather strap is a fitting finish on the enduringly elegant design.","40mm case; 20mm band width.
Buckle closure.
Swiss quartz movement.
Date function.
Sapphire crystal face.
Stainless steel/leather.
By Movado; Swiss made.
Item #5194278",0,NA,[],https://shop.nordstrom.com/s/movado-heritage-leather-strap-watch-40mm/4388010?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=black%2F%20black
"Bold Leather Strap Watch, 34mm",5679033,Khaki/ Carnation Gold,Yes,$315.00,"A blend of everyday style and cocktail-hour elegance, this bold sunray watch features a signature Museum dot and a smooth leather strap.","34mm case; 15mm band width
Buckle closure
Swiss quartz movement
Mineral crystal face
Stainless steel with ionic plate/leather
Imported
Item #5923952_1",1,5,"['You get what you pay for!!\nBeautiful Movado watch...so simple and elegant with comfortable wrist band...not too stiff. I love this watch.\nBrowneyedmiss Sweepstakes entry\nDec 15, 2019']",https://shop.nordstrom.com/s/movado-bold-leather-strap-watch-34mm/5679033?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=khaki%2F%20gold
"Bold Leather Strap Watch, 34mm",5679033,Khaki/ Gold,Yes,$315.00,"A blend of everyday style and cocktail-hour elegance, this bold sunray watch features a signature Museum dot and a smooth leather strap.","34mm case; 15mm band width
Buckle closure
Swiss quartz movement
Mineral crystal face
Stainless steel with ionic plate/leather
Imported
Item #5923952_1",1,5,"['You get what you pay for!!\nBeautiful Movado watch...so simple and elegant with comfortable wrist band...not too stiff. I love this watch.\nBrowneyedmiss Sweepstakes entry\nDec 15, 2019']",https://shop.nordstrom.com/s/movado-bold-leather-strap-watch-34mm/5679033?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=khaki%2F%20gold
